AddressLine	City	Municipality	AdminDivision	Country	PostCode	Latitude	Longitude	Phone	IsWiFiHotSpot	IsWheelchairAccessible	Opens	Closes	
935 N Krome Ave	Homestead		FL	US	33034	25.45709	-80.47742	(239) 555-0121	True	True	700	1800	
12669 S Dixie Hwy	Miami		FL	US	33156	25.65385	-80.32947	(239) 555-0168	False	True	600	2300	
350 Ocean Dr	Miami Beach		FL	US	33139	25.77258	-80.13225	(239) 555-0181	False	True	600	2300	
6655 Ashcroft Dr	Houston		TX	US	77081	29.70894	-95.49112	(210) 555-0117	False	True	600	2300	
622 George Washington Hwy	Lincoln		RI	US	02865	41.93546	-71.4808	(401) 555-0125	False	False	700	1800	
1615 W Wellington Ave	Chicago		IL	US	60657	41.93589	-87.66917	(217) 555-0179	False	True	800	2200	
2941 N Clark St	Chicago		IL	US	60657	41.93603	-87.64775	(217) 555-0138	True	True	900	2400	
3 North St	Windsor Locks		CT	US	06096	41.93644	-72.63067	(203) 555-0134	False	False	700	1800	
305 Army Trail Rd	Glendale Heights		IL	US	60139	41.93655	-88.07472	(217) 555-0127	False	True	800	2200	
3144 N Narragansett Ave	Chicago		IL	US	60634	41.93676	-87.78566	(217) 555-0164	False	True	700	1800	
3002 N Sheffield Ave	Chicago		IL	US	60657	41.93681	-87.65394	(217) 555-0122	False	False	700	1800	
1094 Bay St	Taunton		MA	US	02780	41.93703	-71.11111	(339) 555-0190	False	True	800	2200	
28 Pleasant Rd	Enfield		CT	US	06082	41.93742	-72.60954	(203) 555-0101	False	True	700	1800	
7126 Clarewood Dr	Houston		TX	US	77036	29.70961	-95.51303	(210) 555-0172	False	False	900	2400	
2150 Bloomingdale Rd	Glendale Heights		IL	US	60139	41.93747	-88.0801	(217) 555-0197	False	False	600	2300	
169 Pine St	Attleboro		MA	US	02703	41.9375	-71.28221	(339) 555-0166	False	True	800	2200	
517 W Lake St	Addison		IL	US	60101	41.93757	-88.00082	(217) 555-0132	True	True	700	1800	
503 W Lake St	Addison		IL	US	60101	41.93768	-88.00106	(217) 555-0192	False	False	700	1800	
35 S Main St	East Granby		CT	US	06026	41.93811	-72.72877	(203) 555-0185	False	False	800	2200	
3109 N Halsted St	Chicago		IL	US	60657	41.93826	-87.64936	(217) 555-0122	True	False	600	2300	
613 W Lake St	Addison		IL	US	60101	41.93898	-88.00413	(217) 555-0105	False	False	700	1800	
3753 W Belmont Ave	Chicago		IL	US	60618	41.939	-87.72149	(217) 555-0158	False	True	800	2200	
332 W Army Trail Rd	Bloomingdale		IL	US	60108	41.93914	-88.10544	(217) 555-0112	False	True	700	1800	
3114 N Lincoln Ave	Chicago		IL	US	60657	41.93928	-87.66795	(217) 555-0160	False	False	700	1800	
2441 University Blvd	Houston		TX	US	77005	29.71493	-95.41568	(210) 555-0131	False	True	800	2200	
3159 N Southport Ave	Chicago		IL	US	60657	41.93931	-87.66399	(217) 555-0170	False	True	800	2200	
3400 River Rd	Franklin Park		IL	US	60131	41.93961	-87.85233	(217) 555-0193	False	True	1000	2000	
1001 W Belmont Ave	Chicago		IL	US	60657	41.93972	-87.65456	(217) 555-0121	False	False	700	1800	
2896 State Hwy	Wellfleet		MA	US	02667	41.93974	-70.02272	(339) 555-0107	False	True	800	2200	
1232 W Belmont Ave	Chicago		IL	US	60657	41.9399	-87.66021	(217) 555-0157	True	True	900	2400	
962 W Belmont Ave	Chicago		IL	US	60657	41.93999	-87.65355	(217) 555-0197	False	False	600	2300	
3215 N Sheffield Ave	Chicago		IL	US	60657	41.94124	-87.65433	(217) 555-0191	False	True	800	2200	
298 Glen Ellyn Rd	Bloomingdale		IL	US	60108	41.9417	-88.06281	(217) 555-0117	True	True	700	1800	
3311 N Clark St	Chicago		IL	US	60657	41.94211	-87.65269	(217) 555-0116	False	False	700	1800	
3426 N Harlem Ave	Chicago		IL	US	60634	41.94286	-87.80675	(217) 555-0116	False	True	800	2200	
2520 Amherst St	Houston		TX	US	77005	29.71581	-95.41739	(210) 555-0130	True	True	700	1800	
3418 N Southport Ave	Chicago		IL	US	60657	41.944	-87.66386	(217) 555-0142	False	False	900	2400	
3441 N Sheffield Ave	Chicago		IL	US	60657	41.9451	-87.65443	(217) 555-0169	False	True	800	2200	
3546 N Milwaukee Ave	Chicago		IL	US	60641	41.94533	-87.73396	(217) 555-0163	False	True	700	1800	
3561 N Broadway St	Chicago		IL	US	60657	41.94702	-87.64727	(217) 555-0172	False	False	700	1800	
3554 N Clark St	Chicago		IL	US	60657	41.94704	-87.65629	(217) 555-0143	False	False	800	2200	
3656 N Central Ave	Chicago		IL	US	60634	41.9473	-87.76663	(217) 555-0193	True	False	730	2330	
25 Forest St	Attleboro		MA	US	02703	41.94743	-71.27639	(339) 555-0139	False	False	700	1800	
3638 N Pulaski Rd	Chicago		IL	US	60641	41.94788	-87.72732	(217) 555-0178	False	True	800	2200	
3651 N Southport Ave	Chicago		IL	US	60613	41.94795	-87.66422	(217) 555-0147	True	True	700	1800	
2515 Riverside Dr	Houston		TX	US	77004	29.71588	-95.37608	(210) 555-0160	False	False	700	1800	
3647 N Southport Ave	Chicago		IL	US	60613	41.94799	-87.66423	(217) 555-0139	False	False	600	2300	
103 Pleasant St	Attleboro		MA	US	02703	41.94824	-71.27845	(339) 555-0176	False	True	800	2200	
3747 N Southport Ave	Chicago		IL	US	60613	41.94951	-87.66426	(217) 555-0172	True	True	700	1800	
3706 N Southport Ave	Chicago		IL	US	60613	41.95027	-87.66402	(217) 555-0186	False	True	800	2200	
826 Broadway	Raynham		MA	US	02767	41.95036	-71.0721	(339) 555-0129	False	True	600	2300	
3763 N Southport Ave	Chicago		IL	US	60613	41.95087	-87.66429	(217) 555-0147	False	False	700	1800	
3877 N Elston Ave	Chicago		IL	US	60618	41.95125	-87.71588	(217) 555-0187	False	True	800	2200	
855 Broadway	Raynham		MA	US	02767	41.9514	-71.07178	(339) 555-0105	False	True	700	1800	
3811 N Southport Ave	Chicago		IL	US	60613	41.95213	-87.66433	(217) 555-0184	False	False	730	2330	
5510 Morningside Dr	Houston		TX	US	77005	29.71609	-95.4148	(210) 555-0115	False	False	800	2200	
7443 W Irving Park Rd	Chicago		IL	US	60634	41.95251	-87.8137	(217) 555-0158	False	True	800	2200	
3900 N Lincoln Ave	Chicago		IL	US	60613	41.95302	-87.67789	(217) 555-0181	True	True	700	1800	
360 W Schick Rd	Bloomingdale		IL	US	60108	41.95322	-88.10926	(217) 555-0107	False	False	900	2400	
4441 W Irving Park Rd	Chicago		IL	US	60641	41.95338	-87.73985	(217) 555-0100	False	True	800	2200	
3930 N Pulaski Rd	Chicago		IL	US	60641	41.95347	-87.72749	(217) 555-0171	True	True	1000	2000	
410 E Green St	Bensenville		IL	US	60106	41.95351	-87.93353	(217) 555-0166	False	False	600	2300	
3210 W Irving Park Rd	Chicago		IL	US	60618	41.95402	-87.70859	(217) 555-0101	False	False	800	2200	
3953 N Broadway St	Chicago		IL	US	60613	41.95429	-87.65058	(217) 555-0171	False	False	700	1800	
1011 W Irving Park Rd	Chicago		IL	US	60613	41.95434	-87.6552	(217) 555-0158	False	False	700	1800	
4004 N Southport Ave	Chicago		IL	US	60613	41.95485	-87.66415	(217) 555-0196	False	True	800	2200	
2400 Times Blvd	Houston		TX	US	77005	29.71684	-95.41522	(210) 555-0167	True	False	700	1800	
4200 River Rd	Schiller Park		IL	US	60176	41.95497	-87.8579	(217) 555-0176	False	True	600	2300	
7 S Center St	Bensenville		IL	US	60106	41.95574	-87.94131	(217) 555-0200	False	False	700	1800	
120 Ridge Ave	Bloomingdale		IL	US	60108	41.95576	-88.07823	(217) 555-0193	False	True	800	2200	
120 W Green St	Bensenville		IL	US	60106	41.95589	-87.94216	(217) 555-0112	True	True	700	1800	
14 Union St	Plymouth		MA	US	02360	41.9559	-70.661	(339) 555-0182	False	False	700	1800	
4100 N Western Ave	Chicago		IL	US	60618	41.95647	-87.68845	(217) 555-0185	False	True	800	2200	
109 Franklin St	Bloomingdale		IL	US	60108	41.95671	-88.08156	(217) 555-0115	True	True	900	2400	
4160 N Lincoln Ave	Chicago		IL	US	60618	41.9574	-87.6809	(217) 555-0130	False	False	700	1800	
164 Old Post Rd	Rhinebeck		NY	US	12572	41.95789	-73.89695	(212) 555-0165	False	True	800	2200	
4256 N Central Ave	Chicago		IL	US	60634	41.95822	-87.76703	(217) 555-0118	True	True	700	1800	
2407 Rice Blvd	Houston		TX	US	77005	29.71732	-95.4153	(210) 555-0122	False	False	700	1800	
4237 N Cicero Ave	Chicago		IL	US	60641	41.95856	-87.74755	(217) 555-0165	False	False	600	2300	
6117 W Montrose Ave	Chicago		IL	US	60634	41.9601	-87.78004	(217) 555-0154	False	True	800	2200	
4358 N Elston Ave	Chicago		IL	US	60641	41.96034	-87.72867	(217) 555-0123	False	True	700	1800	
122 Water St	Plymouth		MA	US	02360	41.9609	-70.66674	(339) 555-0143	False	False	900	2400	
34 S Park Ave	Plymouth		MA	US	02360	41.96094	-70.66879	(339) 555-0139	False	True	800	2200	
4126 W Montrose Ave	Chicago		IL	US	60641	41.96103	-87.73122	(217) 555-0186	True	True	600	2300	
4445 N Pulaski Rd	Chicago		IL	US	60630	41.9614	-87.72799	(217) 555-0177	False	False	1000	2000	
136 Water St	Plymouth		MA	US	02360	41.96148	-70.66754	(339) 555-0101	False	False	800	2200	
4429 N Broadway St	Chicago		IL	US	60640	41.96289	-87.65602	(217) 555-0158	True	False	700	1800	
4618 N Lincoln Ave	Chicago		IL	US	60625	41.96533	-87.68624	(217) 555-0160	False	False	700	1800	
1304 Common St	New Braunfels		TX	US	78130	29.72031	-98.1034	(210) 555-0104	False	True	800	2200	
9812 Lawrence Ave	Schiller Park		IL	US	60176	41.9659	-87.87179	(217) 555-0196	False	True	800	2200	
4747 N Harlem Ave	Harwood Heights		IL	US	60706	41.96597	-87.80727	(217) 555-0188	True	True	700	1800	
350 N Wood Dale Rd	Wood Dale		IL	US	60191	41.96601	-87.97871	(217) 555-0147	False	False	700	1800	
9450 Lawrence Ave	Schiller Park		IL	US	60176	41.96611	-87.86352	(217) 555-0197	False	True	800	2200	
4701 N Cumberland Ave	Harwood Heights		IL	US	60706	41.96637	-87.83669	(217) 555-0159	False	True	700	1800	
4607 N Wolcott Ave	Chicago		IL	US	60640	41.96654	-87.67629	(217) 555-0123	False	False	600	2300	
7309 W Lawrence Ave	Harwood Heights		IL	US	60706	41.96704	-87.8101	(217) 555-0130	False	True	800	2200	
4801 N Austin Ave	Chicago		IL	US	60630	41.96821	-87.77802	(217) 555-0170	False	True	900	2400	
